HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,class,cluster
35.0,80.0,50.0,50.0,70.0,120.0,Dugtrio,1
39.99999999999999,45.0,35.0,40.00000000000001,40.0,90.0,Meowth,1
65.0,70.0,60.0,65.0,65.0,115.0,Persian,0
50.0,52.0,48.0,65.0,50.0,55.0,Psyduck,1
80.0,82.0,78.0,95.0,80.0,85.0,Golduck,0
39.99999999999999,80.0,35.0,34.99999999999999,45.0,70.0,Mankey,1
65.0,105.0,60.0,60.0,70.0,95.0,Primeape,0
55.0,70.0,45.0,70.0,50.0,60.0,Growlithe,1
90.0,110.0,80.0,100.0,80.0,95.0,Arcanine,0
39.99999999999999,50.0,40.0,40.00000000000001,40.0,90.0,Poliwag,1
65.0,65.0,65.0,50.0,50.0,90.0,Poliwhirl,1
90.0,95.0,95.0,70.0,90.0,70.0,Poliwrath,2
25.0,20.0,14.999999999999993,105.0,55.0,90.0,Abra,1
39.99999999999999,34.99999999999999,30.0,120.0,70.0,105.0,Kadabra,1
55.0,50.0,45.0,135.0,95.0,120.0,Alakazam,0
55.0,50.0,65.0,175.0,95.0,150.0,AlakazamMega Alakazam,0
70.0,80.0,50.0,34.99999999999999,35.0,35.0,Machop,1
80.0,100.0,70.0,50.0,60.0,45.0,Machoke,2
90.0,130.0,80.0,65.0,85.0,55.0,Machamp,2
50.0,75.0,35.0,70.0,30.0,40.0,Bellsprout,1
65.0,90.0,50.0,85.0,45.0,55.0,Weepinbell,1
80.0,105.0,65.0,100.0,70.0,70.0,Victreebel,0
39.99999999999999,40.0,35.0,50.0,100.0,70.0,Tentacool,1
80.0,70.0,65.0,80.0,120.0,100.0,Tentacruel,0
39.99999999999999,80.0,100.0,30.0,30.0,20.0,Geodude,1
55.0,95.0,115.0,45.0,45.0,35.0,Graveler,2
80.0,120.0,130.0,55.0,65.0,45.0,Golem,2
50.0,85.0,55.0,65.0,65.0,90.0,Ponyta,1
65.0,100.0,70.0,80.0,80.0,105.0,Rapidash,0
90.0,65.0,65.0,40.00000000000001,40.0,15.000000000000007,Slowpoke,1
95.0,75.0,110.0,100.0,80.0,30.0,Slowbro,2
95.0,75.0,180.0,130.0,80.0,30.0,SlowbroMega Slowbro,2
25.0,34.99999999999999,70.0,95.0,55.0,45.0,Magnemite,1
50.0,60.0,95.0,120.0,70.0,70.0,Magneton,0
52.0,65.0,55.0,58.0,62.0,60.0,Farfetch'd,1
35.0,85.0,45.0,34.99999999999999,35.0,75.0,Doduo,1
60.0,110.0,70.0,60.0,60.0,100.0,Dodrio,0
65.0,45.0,55.0,45.0,70.0,45.0,Seel,1
90.0,70.0,80.0,70.0,95.0,70.0,Dewgong,2
80.0,80.0,50.0,40.00000000000001,50.0,25.000000000000007,Grimer,1
105.0,105.0,75.0,65.0,100.0,50.0,Muk,2
30.0,65.0,100.0,45.0,25.0,40.0,Shellder,1
50.0,95.0,180.0,85.0,45.0,70.0,Cloyster,2
30.0,34.99999999999999,30.0,100.0,35.0,80.0,Gastly,1
45.0,50.0,45.0,115.0,55.0,95.0,Haunter,1
60.0,65.0,60.0,130.0,75.0,110.0,Gengar,0
60.0,65.0,80.0,170.0,95.0,130.0,GengarMega Gengar,0
35.0,45.0,160.0,30.0,45.0,70.0,Onix,1
60.0,48.0,45.0,43.0,90.0,42.0,Drowzee,1
85.0,73.0,70.0,73.0,115.0,67.0,Hypno,2
30.0,105.0,90.0,25.0,25.0,50.0,Krabby,1
55.0,130.0,115.0,50.0,50.0,75.0,Kingler,2
39.99999999999999,30.0,50.0,55.0,55.0,100.0,Voltorb,1
60.0,50.0,70.0,80.0,80.0,140.0,Electrode,0
60.0,40.0,80.0,60.0,45.0,40.0,Exeggcute,1
95.0,95.0,85.0,125.0,65.0,55.0,Exeggutor,2
50.0,50.0,95.0,40.00000000000001,50.0,35.0,Cubone,1
60.0,80.0,110.0,50.0,80.0,45.0,Marowak,2
50.0,120.0,53.0,34.99999999999999,110.0,87.0,Hitmonlee,0
50.0,105.0,79.0,34.99999999999999,110.0,76.0,Hitmonchan,2
90.0,55.0,75.0,60.0,75.0,30.0,Lickitung,2
39.99999999999999,65.0,95.0,60.0,45.0,35.0,Koffing,1
65.0,90.0,120.0,85.0,70.0,60.0,Weezing,2
80.0,85.0,95.0,30.0,30.0,25.000000000000007,Rhyhorn,1
105.0,130.0,120.0,45.0,45.0,40.0,Rhydon,2
250.0,5.0,5.0,34.99999999999999,105.0,50.0,Chansey,2
65.0,55.0,115.0,100.0,40.0,60.0,Tangela,2
105.0,95.0,80.0,40.00000000000001,80.0,90.0,Kangaskhan,2
105.0,125.0,100.0,60.0,100.0,100.0,KangaskhanMega Kangaskhan,0
30.0,40.0,70.0,70.0,25.0,60.0,Horsea,1
55.0,65.0,95.0,95.0,45.0,85.0,Seadra,1
45.0,67.0,60.0,34.99999999999999,50.0,63.0,Goldeen,1
80.0,92.0,65.0,65.0,80.0,68.0,Seaking,2
30.0,45.0,55.0,70.0,55.0,85.0,Staryu,1
60.0,75.0,85.0,100.0,85.0,115.0,Starmie,0
39.99999999999999,45.0,65.0,100.0,120.0,90.0,Mr. Mime,0
70.0,110.0,80.0,55.0,80.0,105.0,Scyther,0
65.0,50.0,35.0,115.0,95.0,95.0,Jynx,0
65.0,83.0,57.0,95.0,85.0,105.0,Electabuzz,0
65.0,95.0,57.0,100.0,85.0,93.0,Magmar,0
65.0,125.0,100.0,55.0,70.0,85.0,Pinsir,2
65.0,155.0,120.0,65.0,90.0,105.0,PinsirMega Pinsir,0
75.0,100.0,95.0,40.00000000000001,70.0,110.0,Tauros,0
20.0,10.0,55.0,15.0,19.999999999999993,80.0,Magikarp,1
95.0,125.0,79.0,60.0,100.0,81.0,Gyarados,2
95.0,155.0,109.0,70.0,130.0,81.0,GyaradosMega Gyarados,2
130.0,85.0,80.0,85.0,95.0,60.0,Lapras,2
48.0,48.0,48.0,48.0,48.0,48.0,Ditto,1
55.0,55.0,50.0,45.0,65.0,55.0,Eevee,1
130.0,65.0,60.0,110.0,95.0,65.0,Vaporeon,2
65.0,65.0,60.0,110.0,95.0,130.0,Jolteon,0
65.0,130.0,60.0,95.0,110.0,65.0,Flareon,0
65.0,60.0,70.0,85.0,75.0,40.0,Porygon,1
35.0,40.0,100.0,90.0,55.0,35.0,Omanyte,1
70.0,60.0,125.0,115.0,70.0,55.0,Omastar,2
30.0,80.0,90.0,55.0,45.0,55.0,Kabuto,1
60.0,115.0,105.0,65.0,70.0,80.0,Kabutops,2
80.0,105.0,65.0,60.0,75.0,130.0,Aerodactyl,0
80.0,135.0,85.0,70.0,95.0,150.0,AerodactylMega Aerodactyl,0
160.0,110.0,65.0,65.0,110.0,30.0,Snorlax,2
90.0,85.0,100.0,95.0,125.0,85.0,Articuno,0
90.0,90.0,85.0,125.0,90.0,100.0,Zapdos,0
90.0,100.0,90.0,125.0,85.0,90.0,Moltres,0
41.0,64.0,45.0,50.0,50.0,50.0,Dratini,1
61.0,84.0,65.0,70.0,70.0,70.0,Dragonair,1
91.0,134.0,95.0,100.0,100.0,80.0,Dragonite,0
106.0,110.0,90.0,153.99999999999997,90.0,130.0,Mewtwo,0
106.0,190.0,100.0,153.99999999999997,100.0,130.0,MewtwoMega Mewtwo X,0
106.0,150.0,70.0,194.0,120.0,140.0,MewtwoMega Mewtwo Y,0
100.0,100.0,100.0,100.0,100.0,100.0,Mew,0
45.0,49.0,65.0,49.0,65.0,45.0,Chikorita,1
60.0,62.0,80.0,63.0,80.0,60.0,Bayleef,1
80.0,82.0,100.0,83.0,100.0,80.0,Meganium,2
39.0,52.0,43.0,60.0,50.0,65.0,Cyndaquil,1
58.0,64.0,58.0,80.0,65.0,80.0,Quilava,1
78.0,84.0,78.0,109.0,85.0,100.0,Typhlosion,0
50.0,65.0,64.0,44.0,48.0,43.0,Totodile,1
65.0,80.0,80.0,59.0,63.0,58.0,Croconaw,1
85.0,105.0,100.0,79.0,83.0,78.0,Feraligatr,2
35.0,46.00000000000001,34.0,34.99999999999999,45.0,20.0,Sentret,1
85.0,76.0,64.0,45.0,55.0,90.0,Furret,1
60.0,30.0,30.0,36.0,56.0,50.0,Hoothoot,1
100.0,50.0,50.0,76.0,96.0,70.0,Noctowl,2
39.99999999999999,20.0,30.0,40.00000000000001,80.0,55.0,Ledyba,1
55.0,34.99999999999999,50.0,55.0,110.0,85.0,Ledian,1
39.99999999999999,60.0,40.0,40.00000000000001,40.0,30.0,Spinarak,1
70.0,90.0,70.0,60.0,60.0,40.0,Ariados,1
85.0,90.0,80.0,70.0,80.0,130.0,Crobat,0
75.0,38.0,38.0,56.0,56.0,67.0,Chinchou,1
125.0,58.0,58.0,76.0,76.0,67.0,Lanturn,2
20.0,40.0,14.999999999999993,34.99999999999999,35.0,60.0,Pichu,1
50.0,25.0,28.000000000000007,45.0,55.0,15.000000000000007,Cleffa,1
90.0,30.0,14.999999999999993,40.00000000000001,19.999999999999993,15.000000000000007,Igglybuff,1
35.0,20.0,65.0,40.00000000000001,65.0,20.0,Togepi,1
55.0,40.0,85.0,80.0,105.0,40.0,Togetic,2
39.99999999999999,50.0,45.0,70.0,45.0,70.0,Natu,1
65.0,75.0,70.0,95.0,70.0,95.0,Xatu,0
55.0,40.0,40.0,65.0,45.0,35.0,Mareep,1
70.0,55.0,55.0,80.0,60.0,45.0,Flaaffy,1
90.0,75.0,85.0,115.0,90.0,55.0,Ampharos,2
90.0,95.0,105.0,165.0,110.0,45.0,AmpharosMega Ampharos,2
75.0,80.0,95.0,90.0,100.0,50.0,Bellossom,2
70.0,20.0,50.0,20.0,50.0,40.0,Marill,1
100.0,50.0,80.0,60.0,80.0,50.0,Azumarill,2
70.0,100.0,115.0,30.0,65.0,30.0,Sudowoodo,2
90.0,75.0,75.0,90.0,100.0,70.0,Politoed,2
35.0,34.99999999999999,40.0,34.99999999999999,55.0,50.0,Hoppip,1
55.0,45.0,50.0,45.0,65.0,80.0,Skiploom,1
75.0,55.0,70.0,55.0,95.0,110.0,Jumpluff,0
55.0,70.0,55.0,40.00000000000001,55.0,85.0,Aipom,1
30.0,30.0,30.0,30.0,30.0,30.0,Sunkern,1
75.0,75.0,55.0,105.0,85.0,30.0,Sunflora,2
65.0,65.0,45.0,75.0,45.0,95.0,Yanma,1
55.0,45.0,45.0,25.0,25.0,15.000000000000007,Wooper,1
95.0,85.0,85.0,65.0,65.0,35.0,Quagsire,2
65.0,65.0,60.0,130.0,95.0,110.0,Espeon,0
95.0,65.0,110.0,60.0,130.0,65.0,Umbreon,2
60.0,85.0,42.0,85.0,42.0,91.0,Murkrow,1
95.0,75.0,80.0,100.0,110.0,30.0,Slowking,2
60.0,60.0,60.0,85.0,85.0,85.0,Misdreavus,0
48.0,72.0,48.0,72.0,48.0,48.0,Unown,1
190.0,33.0,58.0,33.0,58.0,33.0,Wobbuffet,2
70.0,80.0,65.0,90.0,65.0,85.0,Girafarig,0
50.0,65.0,90.0,34.99999999999999,35.0,15.000000000000007,Pineco,1
75.0,90.0,140.0,60.0,60.0,40.0,Forretress,2
100.0,70.0,70.0,65.0,65.0,45.0,Dunsparce,2
65.0,75.0,105.0,34.99999999999999,65.0,85.0,Gligar,2
75.0,85.0,200.0,55.0,65.0,30.0,Steelix,2
75.0,125.0,230.0,55.0,95.0,30.0,SteelixMega Steelix,2
60.0,80.0,50.0,40.00000000000001,40.0,30.0,Snubbull,1
90.0,120.0,75.0,60.0,60.0,45.0,Granbull,2
65.0,95.0,75.0,55.0,55.0,85.0,Qwilfish,1
70.0,130.0,100.0,55.0,80.0,65.0,Scizor,2
70.0,150.0,140.0,65.0,100.0,75.0,ScizorMega Scizor,2
20.0,10.0,230.0,10.0,230.0,5.000000000000007,Shuckle,2
80.0,125.0,75.0,40.00000000000001,95.0,85.0,Heracross,2
80.0,185.0,115.0,40.00000000000001,105.0,75.0,HeracrossMega Heracross,2
55.0,95.0,55.0,34.99999999999999,75.0,115.0,Sneasel,0
60.0,80.0,50.0,50.0,50.0,40.0,Teddiursa,1
90.0,130.0,75.0,75.0,75.0,55.0,Ursaring,2
39.99999999999999,40.0,40.0,70.0,40.0,20.0,Slugma,1
50.0,50.0,120.0,80.0,80.0,30.0,Magcargo,2
50.0,50.0,40.0,30.0,30.0,50.0,Swinub,1
100.0,100.0,80.0,60.0,60.0,50.0,Piloswine,2
55.0,55.0,85.0,65.0,85.0,35.0,Corsola,1
35.0,65.0,35.0,65.0,35.0,65.0,Remoraid,1
75.0,105.0,75.0,105.0,75.0,45.0,Octillery,2
45.0,55.0,45.0,65.0,45.0,75.0,Delibird,1
65.0,40.0,70.0,80.0,140.0,70.0,Mantine,2
65.0,80.0,140.0,40.00000000000001,70.0,70.0,Skarmory,2
45.0,60.0,30.0,80.0,50.0,65.0,Houndour,1
75.0,90.0,50.0,110.0,80.0,95.0,Houndoom,0
75.0,90.0,90.0,140.0,90.0,115.0,HoundoomMega Houndoom,0
75.0,95.0,95.0,95.0,95.0,85.0,Kingdra,0
90.0,60.0,60.0,40.00000000000001,40.0,40.0,Phanpy,1
90.0,120.0,120.0,60.0,60.0,50.0,Donphan,2
85.0,80.0,90.0,105.0,95.0,60.0,Porygon2,2
73.0,95.0,62.0,85.0,65.0,85.0,Stantler,0
55.0,20.0,35.0,20.0,45.0,75.0,Smeargle,1
35.0,34.99999999999999,35.0,34.99999999999999,35.0,35.0,Tyrogue,1
50.0,95.0,95.0,34.99999999999999,110.0,70.0,Hitmontop,2
45.0,30.0,14.999999999999993,85.0,65.0,65.0,Smoochum,1
45.0,63.0,37.0,65.0,55.0,95.0,Elekid,1
45.0,75.0,37.0,70.0,55.0,83.0,Magby,1
95.0,80.0,105.0,40.00000000000001,70.0,100.0,Miltank,2
255.0,10.0,10.0,75.0,135.0,55.0,Blissey,2
90.0,85.0,75.0,115.0,100.0,115.0,Raikou,0
115.0,115.0,85.0,90.0,75.0,100.0,Entei,0
100.0,75.0,115.0,90.0,115.0,85.0,Suicune,2
50.0,64.0,50.0,45.0,50.0,41.0,Larvitar,1
70.0,84.0,70.0,65.0,70.0,51.0,Pupitar,2
100.0,134.0,110.0,95.0,100.0,61.0,Tyranitar,2
100.0,164.0,150.0,95.0,120.0,71.0,TyranitarMega Tyranitar,2
106.0,90.0,130.0,90.0,154.0,110.0,Lugia,0
106.0,130.0,90.0,110.0,154.0,90.0,Ho-oh,0
100.0,100.0,100.0,100.0,100.0,100.0,Celebi,0
39.99999999999999,45.0,35.0,65.0,55.0,70.0,Treecko,1
50.0,65.0,45.0,85.0,65.0,95.0,Grovyle,1
70.0,85.0,65.0,105.0,85.0,120.0,Sceptile,0
70.0,110.0,75.0,145.0,85.0,145.0,SceptileMega Sceptile,0
45.0,60.0,40.0,70.0,50.0,45.0,Torchic,1
60.0,85.0,60.0,85.0,60.0,55.0,Combusken,1
80.0,120.0,70.0,110.0,70.0,80.0,Blaziken,0
80.0,160.0,80.0,130.0,80.0,100.0,BlazikenMega Blaziken,0
50.0,70.0,50.0,50.0,50.0,40.0,Mudkip,1
70.0,85.0,70.0,60.0,70.0,50.0,Marshtomp,2
100.0,110.0,90.0,85.0,90.0,60.0,Swampert,2
100.0,150.0,110.0,95.0,110.0,70.0,SwampertMega Swampert,2
35.0,55.0,35.0,30.0,30.0,35.0,Poochyena,1
70.0,90.0,70.0,60.0,60.0,70.0,Mightyena,1
38.0,30.0,41.0,30.0,41.0,60.0,Zigzagoon,1
78.0,70.0,61.0,50.0,61.0,100.0,Linoone,1
45.0,45.0,35.0,20.0,30.0,20.0,Wurmple,1
50.0,34.99999999999999,55.0,25.0,25.0,15.000000000000007,Silcoon,1
60.0,70.0,50.0,100.0,50.0,65.0,Beautifly,1
50.0,34.99999999999999,55.0,25.0,25.0,15.000000000000007,Cascoon,1
60.0,50.0,70.0,50.0,90.0,65.0,Dustox,1
39.99999999999999,30.0,30.0,40.00000000000001,50.0,30.0,Lotad,1
60.0,50.0,50.0,60.0,70.0,50.0,Lombre,1
80.0,70.0,70.0,90.0,100.0,70.0,Ludicolo,2
39.99999999999999,40.0,50.0,30.0,30.0,30.0,Seedot,1
70.0,70.0,40.0,60.0,40.0,60.0,Nuzleaf,1
90.0,100.0,60.0,90.0,60.0,80.0,Shiftry,0
39.99999999999999,55.0,30.0,30.0,30.0,85.0,Taillow,1
60.0,85.0,60.0,50.0,50.0,125.0,Swellow,0
39.99999999999999,30.0,30.0,55.0,30.0,85.0,Wingull,1
60.0,50.0,100.0,85.0,70.0,65.0,Pelipper,2
28.0,25.0,25.0,45.0,35.0,40.0,Ralts,1
38.0,34.99999999999999,35.0,65.0,55.0,50.0,Kirlia,1
68.0,65.0,65.0,125.0,115.0,80.0,Gardevoir,0
68.0,85.0,65.0,165.0,135.0,100.0,GardevoirMega Gardevoir,0
39.99999999999999,30.0,31.999999999999993,50.0,52.0,65.0,Surskit,1
70.0,60.0,62.0,80.0,82.0,60.0,Masquerain,1
60.0,40.0,60.0,40.00000000000001,60.0,35.0,Shroomish,1
60.0,130.0,80.0,60.0,60.0,70.0,Breloom,2
60.0,60.0,60.0,34.99999999999999,35.0,30.0,Slakoth,1
80.0,80.0,80.0,55.0,55.0,90.0,Vigoroth,2
150.0,160.0,100.0,95.0,65.0,100.0,Slaking,0
31.0,45.0,90.0,30.0,30.0,40.0,Nincada,1
61.0,90.0,45.0,50.0,50.0,160.0,Ninjask,0
1.0,90.0,45.0,30.0,30.0,40.0,Shedinja,1
64.0,51.0,23.0,51.0,23.0,28.0,Whismur,1
84.0,71.0,43.0,71.0,43.0,48.0,Loudred,1
104.0,91.0,63.0,91.0,73.0,68.0,Exploud,0
72.0,60.0,30.0,20.0,30.0,25.000000000000007,Makuhita,1
144.0,120.0,60.0,40.00000000000001,60.0,50.0,Hariyama,2
50.0,20.0,40.0,20.0,40.0,20.0,Azurill,1
30.0,45.0,135.0,45.0,90.0,30.0,Nosepass,2
50.0,45.0,45.0,34.99999999999999,35.0,50.0,Skitty,1
70.0,65.0,65.0,55.0,55.0,70.0,Delcatty,1
50.0,75.0,75.0,65.0,65.0,50.0,Sableye,1
50.0,85.0,125.0,85.0,115.0,20.0,SableyeMega Sableye,2
50.0,85.0,85.0,55.0,55.0,50.0,Mawile,1
50.0,105.0,125.0,55.0,95.0,50.0,MawileMega Mawile,2
50.0,70.0,100.0,40.00000000000001,40.0,30.0,Aron,1
60.0,90.0,140.0,50.0,50.0,40.0,Lairon,2
70.0,110.0,180.0,60.0,60.0,50.0,Aggron,2
70.0,140.0,230.0,60.0,80.0,50.0,AggronMega Aggron,2
30.0,40.0,55.0,40.00000000000001,55.0,60.0,Meditite,1
60.0,60.0,75.0,60.0,75.0,80.0,Medicham,1
60.0,100.0,85.0,80.0,85.0,100.0,MedichamMega Medicham,0
39.99999999999999,45.0,40.0,65.0,40.0,65.0,Electrike,1
70.0,75.0,60.0,105.0,60.0,105.0,Manectric,0
70.0,75.0,80.0,135.0,80.0,135.0,ManectricMega Manectric,0
60.0,50.0,40.0,85.0,75.0,95.0,Plusle,1
60.0,40.0,50.0,75.0,85.0,95.0,Minun,1
65.0,73.0,55.0,47.0,75.0,85.0,Volbeat,1
65.0,47.0,55.0,73.0,75.0,85.0,Illumise,1
50.0,60.0,45.0,100.0,80.0,65.0,Roselia,1
70.0,43.0,53.0,43.0,53.0,40.0,Gulpin,1
100.0,73.0,83.0,73.0,83.0,55.0,Swalot,2
45.0,90.0,20.0,65.0,19.999999999999993,65.0,Carvanha,1
70.0,120.0,40.0,95.0,40.0,95.0,Sharpedo,0
70.0,140.0,70.0,110.0,65.0,105.0,SharpedoMega Sharpedo,0
130.0,70.0,35.0,70.0,35.0,60.0,Wailmer,1
170.0,90.0,45.0,90.0,45.0,60.0,Wailord,2
60.0,60.0,40.0,65.0,45.0,35.0,Numel,1
70.0,100.0,70.0,105.0,75.0,40.0,Camerupt,2
70.0,120.0,100.0,145.0,105.0,20.0,CameruptMega Camerupt,2
70.0,85.0,140.0,85.0,70.0,20.0,Torkoal,2
60.0,25.0,35.0,70.0,80.0,60.0,Spoink,1
80.0,45.0,65.0,90.0,110.0,80.0,Grumpig,0
60.0,60.0,60.0,60.0,60.0,60.0,Spinda,1
45.0,100.0,45.0,45.0,45.0,9.999999999999993,Trapinch,1
50.0,70.0,50.0,50.0,50.0,70.0,Vibrava,1
80.0,100.0,80.0,80.0,80.0,100.0,Flygon,0
50.0,85.0,40.0,85.0,40.0,35.0,Cacnea,1
70.0,115.0,60.0,115.0,60.0,55.0,Cacturne,0
45.0,40.0,60.0,40.00000000000001,75.0,50.0,Swablu,1
75.0,70.0,90.0,70.0,105.0,80.0,Altaria,2
75.0,110.0,110.0,110.0,105.0,80.0,AltariaMega Altaria,0
73.0,115.0,60.0,60.0,60.0,90.0,Zangoose,0
73.0,100.0,60.0,100.0,60.0,65.0,Seviper,0
70.0,55.0,65.0,95.0,85.0,70.0,Lunatone,0
70.0,95.0,85.0,55.0,65.0,70.0,Solrock,2
50.0,48.0,43.0,46.0,41.0,60.0,Barboach,1
110.0,78.0,73.0,76.0,71.0,60.0,Whiscash,2
43.0,80.0,65.0,50.0,35.0,35.0,Corphish,1
63.0,120.0,85.0,90.0,55.0,55.0,Crawdaunt,2
39.99999999999999,40.0,55.0,40.00000000000001,70.0,55.0,Baltoy,1
60.0,70.0,105.0,70.0,120.0,75.0,Claydol,2
66.0,41.0,77.0,61.0,87.0,23.0,Lileep,1
86.0,81.0,97.0,81.0,107.0,43.0,Cradily,2
45.0,95.0,50.0,40.00000000000001,50.0,75.0,Anorith,1
75.0,125.0,100.0,70.0,80.0,45.0,Armaldo,2
20.0,15.0,20.0,10.0,55.0,80.0,Feebas,1
95.0,60.0,79.0,100.0,125.0,81.0,Milotic,0
70.0,70.0,70.0,70.0,70.0,70.0,Castform,1
60.0,90.0,70.0,60.0,120.0,40.0,Kecleon,2
44.0,75.0,35.0,63.0,33.0,45.0,Shuppet,1
64.0,115.0,65.0,83.0,63.0,65.0,Banette,0
64.0,165.0,75.0,93.0,83.0,75.0,BanetteMega Banette,0
20.0,40.0,90.0,30.0,90.0,25.000000000000007,Duskull,1
39.99999999999999,70.0,130.0,60.0,130.0,25.000000000000007,Dusclops,2
99.0,68.0,83.0,72.0,87.0,51.0,Tropius,2
65.0,50.0,70.0,95.0,80.0,65.0,Chimecho,1
65.0,130.0,60.0,75.0,60.0,75.0,Absol,0
65.0,150.0,60.0,115.0,60.0,115.0,AbsolMega Absol,0
95.0,23.0,48.0,23.0,48.0,23.0,Wynaut,1
50.0,50.0,50.0,50.0,50.0,50.0,Snorunt,1
80.0,80.0,80.0,80.0,80.0,80.0,Glalie,0
80.0,120.0,80.0,120.0,80.0,100.0,GlalieMega Glalie,0
70.0,40.0,50.0,55.0,50.0,25.000000000000007,Spheal,1
90.0,60.0,70.0,75.0,70.0,45.0,Sealeo,2
110.0,80.0,90.0,95.0,90.0,65.0,Walrein,2
35.0,64.0,85.0,74.0,55.0,31.999999999999993,Clamperl,1
55.0,104.0,105.0,94.0,75.0,52.0,Huntail,2
55.0,84.0,105.0,114.0,75.0,52.0,Gorebyss,2
100.0,90.0,130.0,45.0,65.0,55.0,Relicanth,2
43.0,30.0,55.0,40.00000000000001,65.0,97.0,Luvdisc,1
45.0,75.0,60.0,40.00000000000001,30.0,50.0,Bagon,1
65.0,95.0,100.0,60.0,50.0,50.0,Shelgon,2
95.0,135.0,80.0,110.0,80.0,100.0,Salamence,0
95.0,145.0,130.0,120.0,90.0,120.0,SalamenceMega Salamence,0
39.99999999999999,55.0,80.0,34.99999999999999,60.0,30.0,Beldum,1
60.0,75.0,100.0,55.0,80.0,50.0,Metang,2
80.0,135.0,130.0,95.0,90.0,70.0,Metagross,2
80.0,145.0,150.0,105.0,110.0,110.0,MetagrossMega Metagross,0
80.0,100.0,200.0,50.0,100.0,50.0,Regirock,2
80.0,50.0,100.0,100.0,200.0,50.0,Regice,2
